L4 | Sun May 05 22:36:55 2019 (268 ms) | general | New game starting up
L4 | Sun May 05 22:36:55 2019 (269 ms) | general | Target game image size:  1024x600

L4 | Sun May 05 22:36:55 2019 (269 ms) | general | Ideal window dimensions:  640x480

L4 | Sun May 05 22:36:55 2019 (270 ms) | general | Screen width smaller than target game width, fixing
L4 | Sun May 05 22:36:55 2019 (270 ms) | general | Screen height smaller than target game height, fixing
L4 | Sun May 05 22:36:55 2019 (270 ms) | general | Trying to start in fullscreen mode.
L4 | Sun May 05 22:36:55 2019 (271 ms) | general | The following frame rates are considered possible:
L4 | Sun May 05 22:36:55 2019 (271 ms) | general | 60 fps
L4 | Sun May 05 22:36:55 2019 (271 ms) | general | 120 fps
L4 | Sun May 05 22:36:55 2019 (272 ms) | general | 144 fps
L4 | Sun May 05 22:36:55 2019 (278 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sun May 05 22:36:55 2019 (278 ms) | general | Current screen configuration is 1366x768 with aspect ratio 1.77
L4 | Sun May 05 22:36:55 2019 (278 ms) | general | Sticking with user's current screen resolution
L4 | Sun May 05 22:36:55 2019 (278 ms) | general | Checking if requested video mode (1366x768) is available
L4 | Sun May 05 22:36:55 2019 (278 ms) | general | Available video modes:
L5 | Sun May 05 22:36:55 2019 (278 ms) | general |    1366 x 768

L4 | Sun May 05 22:36:55 2019 (278 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sun May 05 22:36:55 2019 (278 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sun May 05 22:36:55 2019 (278 ms) | general |    1360 x 768

L4 | Sun May 05 22:36:55 2019 (278 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun May 05 22:36:55 2019 (278 ms) | general |    1280 x 768

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    1280 x 720

L4 | Sun May 05 22:36:55 2019 (279 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    1280 x 600

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    1024 x 768

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    800 x 600

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    640 x 480

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    640 x 400

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    512 x 384

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    400 x 300

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    320 x 240

L5 | Sun May 05 22:36:55 2019 (279 ms) | general |    320 x 200

L4 | Sun May 05 22:36:55 2019 (679 ms) | general | Successfully opened audio: 22050Hz (requested 22050Hz), sample buffer size=512 (requested 512)

L1 | Sun May 05 22:36:55 2019 (680 ms) | general | CRITICAL ERROR:  TGA file graphics\font_32_64.tga does not exist
L4 | Sun May 05 22:36:58 2019 (718 ms) | general | Measured frame rate = 1598.467182 fps

L4 | Sun May 05 22:36:58 2019 (718 ms) | general | Closest possible frame rate = 144 fps

L4 | Sun May 05 22:36:58 2019 (718 ms) | general | Vsync to enforce closested frame rate of 144 fps doesn't seem to be in effect.

L4 | Sun May 05 22:36:58 2019 (718 ms) | general | Will sleep each frame to enforce desired frame rate of 60 fps

L4 | Sun May 05 22:37:35 2019 (651 ms) | general | exiting...

L4 | Sun May 05 22:37:35 2019 (651 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun May 05 22:37:35 2019 (736 ms) | general | exiting: Deleting sceneHandler

L4 | Sun May 05 22:37:35 2019 (736 ms) | general | Freeing sound sprites

L4 | Sun May 05 22:37:35 2019 (736 ms) | general | exiting: Deleting screen

L4 | Sun May 05 22:37:35 2019 (736 ms) | general | exiting: freeing drawString

L4 | Sun May 05 22:37:35 2019 (736 ms) | general | exiting: calling SDL_Quit()

L4 | Sun May 05 22:37:36 2019 (6 ms) | general | exiting: Done.

L4 | Sun May 05 22:38:02 2019 (647 ms) | general | New game starting up
L4 | Sun May 05 22:38:02 2019 (647 ms) | general | Target game image size:  1024x600

